63, -48, 100
61, -48, 100
59, -48, 100
57, -48, 100
55, -48, 100
53, -48, 100
51, -48, 100
49, -48, 100
47, -48, 100
45, -48, 100
43, -48, 100
41, -48, 100
39, -48, 100
37, -48, 98.037
35, -48, 95.411
33, -48, 92.711
34.578, -46.771, 92.711
36.124, -45.505, 90.449
37.607, -44.163, 89.489
38.991, -42.72, 86.606
40.28, -41.194, 83.625
41.438, -39.567, 80.535
42.419, -37.826, 77.32
43.167, -35.974, 75.199
43.632, -34.032, 74.819
43.786, -32.041, 76.228
43.628, -30.052, 78.923
43.189, -28.104, 82.195
42.514, -26.224, 85.468
41.652, -24.422, 88.42
40.647, -22.694, 90.938
39.532, -21.035, 93.033
38.336, -19.432, 94.768
37.08, -17.877, 96.221
35.779, -16.358, 97.466
34.446, -14.867, 98.568
33.091, -13.396, 99.587
31.722, -11.938, 99.587
30.349, -10.483, 99.426
28.981, -9.024, 98.422
27.625, -7.554, 97.352
26.29, -6.065, 96.163
24.984, -4.551, 94.799
23.719, -3.002, 93.2
22.508, -1.411, 91.309
21.369, 0.233, 89.085
20.325, 1.938, 86.539
19.404, 3.714, 83.776
18.642, 5.562, 81.059
18.078, 7.48, 78.828
17.752, 9.451, 77.611
17.696, 11.448, 77.794
17.919, 13.432, 79.385
18.412, 15.367, 81.986
19.141, 17.227, 85.014
20.067, 19, 84.259
21.188, 20.656, 81.189
22.429, 22.222, 78.001
23.743, 23.728, 74.675
24.508, 25.543, 71.247
25.41, 27.323, 71.594
26.621, 28.912, 74.63
28.088, 30.269, 76.676
29.742, 31.389, 80.922
31.522, 32.299, 84.689
33.384, 33.025, 87.686
35.3, 33.596, 89.946
37.252, 34.03, 87.587
39.227, 34.345, 84.638
41.215, 34.562, 81.582
43.21, 34.691, 78.407
45.21, 34.74, 75.098
47.209, 34.714, 71.637
49.207, 34.616, 67.999
51.198, 34.435, 64.155
51.174, 34.475, 64.062
53.171, 34.539, 59.969
55.154, 34.3, 55.578
57.064, 33.718, 50.812
58.79, 32.721, 45.558
60.14, 31.259, 39.626
60.883, 29.419, 40.701
60.867, 27.432, 52.172
60.234, 25.544, 65.524
59.177, 23.852, 76.376
57.862, 22.349, 83.934
56.364, 21.025, 86.69
54.756, 19.837, 88.916
53.066, 18.77, 90.716
51.312, 17.808, 92.176
49.511, 16.939, 93.365
47.674, 16.149, 94.338
45.809, 15.427, 95.141
43.922, 14.765, 95.806
42.019, 14.152, 96.36
40.101, 13.585, 96.36
38.166, 13.078, 96.826
36.224, 12.603, 97.218
34.273, 12.16, 97.218
32.312, 11.766, 97.551
30.348, 11.39, 97.835
28.376, 11.057, 97.835
26.401, 10.744, 98.079
24.421, 10.461, 98.079
22.438, 10.201, 98.289
20.452, 9.966, 98.289
18.464, 9.752, 98.471
16.473, 9.561, 98.471
14.481, 9.385, 98.628
12.486, 9.236, 98.628
10.492, 9.09, 98.682
9.311, 9.399, 98.054
10.536, 10.98, 97.909
11.741, 12.576, 97.75
12.924, 14.189, 97.576
14.084, 15.818, 97.386
15.213, 17.469, 96.949
